"p"	"n"	"pCor"
"151"	0.7	4206	0.799935460599154
"152"	0.7	4206	0.41526823207608
"153"	0.7	4206	0.760598142644035
"154"	0.7	4206	0.766963878105027
"155"	0.7	4206	0.73988575272242
"156"	0.7	4206	0.655012674662917
"157"	0.7	4206	0.780885530067797
"158"	0.7	4206	0.780471821333515
"159"	0.7	4206	0.535414741208063
"160"	0.7	4206	0.786365856724617
"161"	0.8	2522	NA
"162"	0.8	2522	NA
"163"	0.8	2522	0.370537982286337
"164"	0.8	2522	0.713210157977146
"165"	0.8	2522	NA
"166"	0.8	2522	NA
"167"	0.8	2522	NA
"168"	0.8	2522	0.779237800707381
"169"	0.8	2522	0.475379638158952
"170"	0.8	2522	0.374210265982494
"171"	0.8	2522	0.34801249523302
"172"	0.8	2522	0.796844256229015
"173"	0.8	2522	0.617712670599144
"174"	0.8	2522	0.87008686174433
"175"	0.8	2522	NA
"176"	0.8	2522	0.685329656405636
"177"	0.8	2522	0.70257235960929
"178"	0.8	2522	NA
"179"	0.8	2522	0.342082116392638
"180"	0.8	2522	0.633077803573522
"181"	0.9	865	NA
"182"	0.9	865	0.754545437489579
"183"	0.9	865	NA
"184"	0.9	865	0.617902569109244
"185"	0.9	865	NA
"186"	0.9	865	NA
"187"	0.9	865	NA
"188"	0.9	865	0.677344655466821
"189"	0.9	865	0.424724250722121
"190"	0.9	865	0.779024155371984
"191"	0.9	865	NA
"192"	0.9	865	0.751617115838258
"193"	0.9	865	0.754036568272744
"194"	0.9	865	0.420187303372125
"195"	0.9	865	0.686259689963334
"196"	0.9	865	0.761623687319578
"197"	0.9	865	NA
"198"	0.9	865	NA
"199"	0.9	865	0.801300070369763
"200"	0.9	865	NA
"201"	1	0	NA
"202"	1	0	NA
"203"	1	0	NA
"204"	1	0	NA
"205"	1	0	NA
"206"	1	0	NA
"207"	1	0	NA
"208"	1	0	NA
"209"	1	0	NA
"210"	1	0	NA
"211"	1	0	NA
"212"	1	0	NA
"213"	1	0	NA
"214"	1	0	NA
"215"	1	0	NA
"216"	1	0	NA
"217"	1	0	NA
"218"	1	0	NA
"219"	1	0	NA
"220"	1	0	NA
